name,year,fg3,fg3a,fg3_pct
Andre Miller,8,3.0,34.0,0.088
Andre Miller,9,15.0,53.0,0.283
Andre Miller,10,16.0,80.0,0.2
Andre Miller,11,4.0,37.0,0.108
Andre Miller,12,18.0,83.0,0.217
Andre Miller,13,17.0,64.0,0.266
Andre Miller,15,7.0,34.0,0.206
Darius Miller,0,22.0,56.0,0.393
Darius Miller,1,25.0,77.0,0.325
Darius Miller,5,147.0,358.0,0.411
Darius Miller,6,133.0,364.0,0.365
Darius Miller,8,17.0,42.0,0.405
Mike Miller,0,148.0,364.0,0.407
Mike Miller,1,116.0,303.0,0.383
Mike Miller,2,109.0,300.0,0.363
Mike Miller,3,80.0,215.0,0.372
Mike Miller,4,140.0,323.0,0.433
Mike Miller,5,138.0,339.0,0.407
Mike Miller,6,202.0,498.0,0.406
Mike Miller,7,155.0,359.0,0.432
Mike Miller,8,85.0,225.0,0.378
Mike Miller,9,82.0,171.0,0.48
Mike Miller,10,43.0,118.0,0.364
Mike Miller,11,53.0,117.0,0.453
Mike Miller,12,73.0,175.0,0.417
Mike Miller,13,107.0,233.0,0.459
Mike Miller,14,32.0,98.0,0.327
Mike Miller,15,19.0,52.0,0.365
Patty Mills,1,47.0,133.0,0.353
Patty Mills,2,24.0,56.0,0.429
Patty Mills,3,52.0,130.0,0.4
Patty Mills,4,135.0,318.0,0.425
Patty Mills,5,62.0,182.0,0.341
Patty Mills,6,123.0,320.0,0.384
Patty Mills,7,147.0,355.0,0.414
Patty Mills,8,154.0,414.0,0.372
Patty Mills,9,159.0,404.0,0.394
Patty Mills,10,154.0,403.0,0.382
Patty Mills,11,161.0,429.0,0.375
Patty Mills,12,227.0,568.0,0.4
Paul Millsap,5,7.0,31.0,0.226
Paul Millsap,6,13.0,39.0,0.333
Paul Millsap,7,76.0,212.0,0.358
Paul Millsap,8,77.0,216.0,0.356
Paul Millsap,9,74.0,232.0,0.319
Paul Millsap,10,75.0,241.0,0.311
Paul Millsap,11,39.0,113.0,0.345
Paul Millsap,12,58.0,159.0,0.365
Paul Millsap,13,54.0,124.0,0.435
Paul Millsap,14,49.0,143.0,0.343
Paul Millsap,15,8.0,35.0,0.229
Shake Milton,0,14.0,44.0,0.318
Shake Milton,1,58.0,135.0,0.43
Shake Milton,2,71.0,203.0,0.35
Shake Milton,3,43.0,133.0,0.323
Nikola Mirotić,0,99.0,313.0,0.316
Nikola Mirotić,1,135.0,346.0,0.39
Nikola Mirotić,2,129.0,377.0,0.342
Nikola Mirotić,3,135.0,358.0,0.377
Nikola Mirotić,4,116.0,318.0,0.365
Donovan Mitchell,0,187.0,550.0,0.34
Donovan Mitchell,1,188.0,519.0,0.362
Donovan Mitchell,2,173.0,473.0,0.366
Donovan Mitchell,3,178.0,461.0,0.386
Donovan Mitchell,4,232.0,654.0,0.355
Malik Monk,0,83.0,243.0,0.342
Malik Monk,1,109.0,330.0,0.33
Malik Monk,2,58.0,204.0,0.284
Malik Monk,3,85.0,212.0,0.401
Malik Monk,4,173.0,442.0,0.391
Jamario Moon,0,40.0,122.0,0.328
Jamario Moon,1,65.0,183.0,0.355
Jamario Moon,2,32.0,100.0,0.32
Jamario Moon,3,38.0,123.0,0.309
E'Twaun Moore,0,17.0,45.0,0.378
E'Twaun Moore,1,67.0,197.0,0.34
E'Twaun Moore,2,57.0,161.0,0.354
E'Twaun Moore,3,13.0,38.0,0.342
E'Twaun Moore,4,47.0,104.0,0.452
E'Twaun Moore,5,77.0,208.0,0.37
E'Twaun Moore,6,128.0,301.0,0.425
E'Twaun Moore,7,76.0,176.0,0.432
E'Twaun Moore,8,63.0,167.0,0.377
E'Twaun Moore,9,11.0,35.0,0.314
Ja Morant,0,60.0,179.0,0.335
Ja Morant,1,73.0,241.0,0.303
Ja Morant,2,88.0,256.0,0.344
Darius Morris,1,24.0,66.0,0.364
Darius Morris,2,12.0,38.0,0.316
Darius Morris,3,7.0,33.0,0.212
Marcus Morris,1,86.0,233.0,0.369
Marcus Morris,2,99.0,260.0,0.381
Marcus Morris,3,112.0,313.0,0.358
Marcus Morris,4,108.0,298.0,0.362
Marcus Morris,5,118.0,357.0,0.331
Marcus Morris,6,86.0,234.0,0.368
Marcus Morris,7,146.0,389.0,0.375
Marcus Morris,8,142.0,348.0,0.408
Marcus Morris,9,140.0,296.0,0.473
Marcus Morris,10,101.0,275.0,0.367
Markieff Morris,0,43.0,124.0,0.347
Markieff Morris,1,45.0,134.0,0.336
Markieff Morris,2,34.0,108.0,0.315
Markieff Morris,3,57.0,179.0,0.318
Markieff Morris,4,47.0,155.0,0.303
Markieff Morris,5,71.0,196.0,0.362
Markieff Morris,6,76.0,207.0,0.367
Markieff Morris,7,68.0,203.0,0.335
Markieff Morris,8,88.0,228.0,0.386
Markieff Morris,9,65.0,209.0,0.311
Markieff Morris,10,13.0,39.0,0.333
Monte Morris,1,94.0,227.0,0.414
Monte Morris,2,65.0,172.0,0.378
Monte Morris,3,51.0,134.0,0.381
Monte Morris,4,124.0,314.0,0.395
Adam Morrison,0,87.0,258.0,0.337
Adam Morrison,2,32.0,96.0,0.333
Anthony Morrow,0,86.0,184.0,0.467
Anthony Morrow,1,140.0,307.0,0.456
Anthony Morrow,2,110.0,260.0,0.423
Anthony Morrow,3,106.0,286.0,0.371
Anthony Morrow,4,16.0,43.0,0.372
Anthony Morrow,5,88.0,195.0,0.451
Anthony Morrow,6,141.0,325.0,0.434
Anthony Morrow,7,79.0,204.0,0.387
Anthony Morrow,8,41.0,133.0,0.308
Donatas Motiejūnas,0,24.0,83.0,0.289
Donatas Motiejūnas,1,21.0,84.0,0.25
Donatas Motiejūnas,2,49.0,133.0,0.368
Donatas Motiejūnas,3,16.0,57.0,0.281
Donatas Motiejūnas,4,11.0,47.0,0.234
Emmanuel Mudiay,0,74.0,232.0,0.319
Emmanuel Mudiay,1,56.0,178.0,0.315
Emmanuel Mudiay,2,47.0,148.0,0.318
Emmanuel Mudiay,3,69.0,210.0,0.329
Emmanuel Mudiay,4,30.0,87.0,0.345
Shabazz Muhammad,1,20.0,51.0,0.392
Shabazz Muhammad,2,44.0,152.0,0.289
Shabazz Muhammad,3,49.0,145.0,0.338
Shabazz Muhammad,4,7.0,27.0,0.259
Mychal Mulder,0,16.0,52.0,0.308
Mychal Mulder,1,85.0,214.0,0.397
Mychal Mulder,2,17.0,54.0,0.315
Byron Mullens,2,12.0,51.0,0.235
Byron Mullens,3,66.0,208.0,0.317
Byron Mullens,4,33.0,89.0,0.371
Troy Murphy,3,59.0,148.0,0.399
Troy Murphy,4,58.0,181.0,0.32
Troy Murphy,5,58.0,147.0,0.395
Troy Murphy,6,94.0,236.0,0.398
Troy Murphy,7,161.0,358.0,0.45
Troy Murphy,8,128.0,333.0,0.384
Troy Murphy,9,5.0,33.0,0.152
Troy Murphy,10,28.0,67.0,0.418
Troy Murphy,11,11.0,35.0,0.314
Dejounte Murray,1,9.0,34.0,0.265
Dejounte Murray,3,41.0,111.0,0.369
Dejounte Murray,4,63.0,199.0,0.317
Dejounte Murray,5,96.0,294.0,0.327
Jamal Murray,0,115.0,344.0,0.334
Jamal Murray,1,165.0,436.0,0.378
Jamal Murray,2,152.0,414.0,0.367
Jamal Murray,3,112.0,324.0,0.346
Jamal Murray,4,129.0,316.0,0.408
Ronald Murray,1,67.0,229.0,0.293
Ronald Murray,2,24.0,95.0,0.253
Ronald Murray,3,37.0,141.0,0.262
Ronald Murray,4,24.0,83.0,0.289
Ronald Murray,5,20.0,63.0,0.317
Ronald Murray,6,87.0,242.0,0.36
Ronald Murray,7,69.0,221.0,0.312
Mike Muscala,2,12.0,39.0,0.308
Mike Muscala,3,46.0,110.0,0.418
Mike Muscala,4,62.0,167.0,0.371
Mike Muscala,5,89.0,256.0,0.348
Mike Muscala,6,54.0,143.0,0.378
Mike Muscala,7,68.0,184.0,0.37
Mike Muscala,8,70.0,163.0,0.429
Svi Mykhailiuk,0,29.0,89.0,0.326
Svi Mykhailiuk,1,115.0,285.0,0.404
Svi Mykhailiuk,2,105.0,314.0,0.334
Svi Mykhailiuk,3,41.0,134.0,0.306
Abdel Nader,0,23.0,65.0,0.354
Abdel Nader,1,32.0,100.0,0.32
Abdel Nader,2,48.0,128.0,0.375
Abdel Nader,3,18.0,43.0,0.419
Eduardo Nájera,7,53.0,147.0,0.361
Eduardo Nájera,9,19.0,64.0,0.297
Eduardo Nájera,10,11.0,34.0,0.324
Eduardo Nájera,11,8.0,29.0,0.276
Larry Nance Jr.,1,10.0,36.0,0.278
Larry Nance Jr.,3,33.0,98.0,0.337
Larry Nance Jr.,4,56.0,159.0,0.352
Larry Nance Jr.,5,41.0,114.0,0.36
Larry Nance Jr.,6,23.0,70.0,0.329
Shabazz Napier,0,43.0,118.0,0.364
Shabazz Napier,1,34.0,104.0,0.327
Shabazz Napier,2,34.0,92.0,0.37
Shabazz Napier,3,82.0,218.0,0.376
Shabazz Napier,4,76.0,228.0,0.333
Shabazz Napier,5,76.0,240.0,0.317
Gary Neal,0,129.0,308.0,0.419
Gary Neal,1,83.0,198.0,0.419
Gary Neal,2,89.0,251.0,0.355
Gary Neal,3,68.0,180.0,0.378
Gary Neal,4,50.0,164.0,0.305
Gary Neal,5,41.0,100.0,0.41
Jameer Nelson,0,44.0,141.0,0.312
Jameer Nelson,1,70.0,165.0,0.424
Jameer Nelson,2,65.0,194.0,0.335
Jameer Nelson,3,64.0,154.0,0.416
Jameer Nelson,4,82.0,181.0,0.453
Jameer Nelson,5,86.0,226.0,0.381
Jameer Nelson,6,119.0,297.0,0.401
Jameer Nelson,7,87.0,231.0,0.377
Jameer Nelson,8,121.0,355.0,0.341
Jameer Nelson,9,136.0,391.0,0.348
Jameer Nelson,10,89.0,258.0,0.345
Jameer Nelson,11,43.0,144.0,0.299
Jameer Nelson,12,106.0,273.0,0.388
Jameer Nelson,13,41.0,124.0,0.331
Aaron Nesmith,0,40.0,108.0,0.37
Aaron Nesmith,1,31.0,115.0,0.27
Raul Neto,0,64.0,162.0,0.395
Raul Neto,1,10.0,31.0,0.323
Raul Neto,2,19.0,47.0,0.404
Raul Neto,3,20.0,60.0,0.333
Raul Neto,4,34.0,88.0,0.386
Raul Neto,5,64.0,164.0,0.39
Raul Neto,6,35.0,120.0,0.292
Georges Niang,2,43.0,105.0,0.41
Georges Niang,3,90.0,225.0,0.4
Georges Niang,4,124.0,292.0,0.425
Georges Niang,5,156.0,387.0,0.403
Andrew Nicholson,1,28.0,89.0,0.315
Andrew Nicholson,2,13.0,41.0,0.317
Andrew Nicholson,3,41.0,114.0,0.36
Andrew Nicholson,4,5.0,27.0,0.185
Zeke Nnaji,0,24.0,59.0,0.407
