name,year,fg3,fg3a,fg3_pct
Jannero Pargo,5,65.0,186.0,0.349
Jannero Pargo,7,38.0,138.0,0.275
Jannero Pargo,9,53.0,138.0,0.384
Jannero Pargo,10,39.0,116.0,0.336
Jannero Pargo,11,24.0,60.0,0.4
Jeremy Pargo,0,10.0,38.0,0.263
Jeremy Pargo,1,25.0,74.0,0.338
Jabari Parker,1,9.0,35.0,0.257
Jabari Parker,2,65.0,178.0,0.365
Jabari Parker,3,31.0,81.0,0.383
Jabari Parker,4,61.0,195.0,0.313
Jabari Parker,5,32.0,119.0,0.269
Tony Parker,0,61.0,189.0,0.323
Tony Parker,1,82.0,243.0,0.337
Tony Parker,2,62.0,199.0,0.312
Tony Parker,3,43.0,156.0,0.276
Tony Parker,4,11.0,36.0,0.306
Tony Parker,5,15.0,38.0,0.395
Tony Parker,6,17.0,66.0,0.258
Tony Parker,7,19.0,65.0,0.292
Tony Parker,8,10.0,34.0,0.294
Tony Parker,9,25.0,70.0,0.357
Tony Parker,10,14.0,61.0,0.23
Tony Parker,11,24.0,68.0,0.353
Tony Parker,12,25.0,67.0,0.373
Tony Parker,13,38.0,89.0,0.427
Tony Parker,14,27.0,65.0,0.415
Tony Parker,15,23.0,69.0,0.333
Tony Parker,16,10.0,37.0,0.27
Tony Parker,17,13.0,51.0,0.255
Chandler Parsons,0,60.0,178.0,0.337
Chandler Parsons,1,152.0,395.0,0.385
Chandler Parsons,2,130.0,351.0,0.37
Chandler Parsons,3,132.0,347.0,0.38
Chandler Parsons,4,104.0,251.0,0.414
Chandler Parsons,5,25.0,93.0,0.269
Chandler Parsons,6,51.0,121.0,0.421
Chandler Parsons,7,29.0,94.0,0.309
Eric Paschall,0,37.0,129.0,0.287
Eric Paschall,1,18.0,54.0,0.333
Eric Paschall,2,40.0,108.0,0.37
Patrick Patterson,2,51.0,132.0,0.386
Patrick Patterson,3,55.0,151.0,0.364
Patrick Patterson,4,105.0,283.0,0.371
Patrick Patterson,5,106.0,293.0,0.362
Patrick Patterson,6,94.0,253.0,0.372
Patrick Patterson,7,66.0,171.0,0.386
Patrick Patterson,8,46.0,137.0,0.336
Patrick Patterson,9,67.0,172.0,0.39
Patrick Patterson,10,40.0,112.0,0.357
Chris Paul,0,50.0,177.0,0.282
Chris Paul,1,50.0,143.0,0.35
Chris Paul,2,92.0,249.0,0.369
Chris Paul,3,64.0,176.0,0.364
Chris Paul,4,52.0,127.0,0.409
Chris Paul,5,71.0,183.0,0.388
Chris Paul,6,79.0,213.0,0.371
Chris Paul,7,76.0,232.0,0.328
Chris Paul,8,78.0,212.0,0.368
Chris Paul,9,139.0,349.0,0.398
Chris Paul,10,122.0,329.0,0.371
Chris Paul,11,124.0,302.0,0.411
Chris Paul,12,144.0,379.0,0.38
Chris Paul,13,127.0,355.0,0.358
Chris Paul,14,111.0,304.0,0.365
Chris Paul,15,102.0,258.0,0.395
Chris Paul,16,63.0,199.0,0.317
Sasha Pavlović,0,19.0,70.0,0.271
Sasha Pavlović,1,30.0,78.0,0.385
Sasha Pavlović,2,35.0,96.0,0.365
Sasha Pavlović,3,60.0,148.0,0.405
Sasha Pavlović,4,34.0,114.0,0.298
Sasha Pavlović,5,48.0,117.0,0.41
Sasha Pavlović,6,35.0,118.0,0.297
Sasha Pavlović,7,12.0,31.0,0.387
Sasha Pavlović,8,17.0,58.0,0.293
Sasha Pavlović,9,18.0,60.0,0.3
Cameron Payne,0,36.0,111.0,0.324
Cameron Payne,1,27.0,86.0,0.314
Cameron Payne,2,35.0,91.0,0.385
Cameron Payne,3,25.0,84.0,0.298
Cameron Payne,4,15.0,29.0,0.517
Cameron Payne,5,73.0,166.0,0.44
Cameron Payne,6,71.0,211.0,0.336
Elfrid Payton,0,11.0,42.0,0.262
Elfrid Payton,1,30.0,92.0,0.326
Elfrid Payton,2,40.0,146.0,0.274
Elfrid Payton,3,30.0,92.0,0.326
Elfrid Payton,4,33.0,105.0,0.314
Elfrid Payton,5,14.0,69.0,0.203
Elfrid Payton,6,28.0,98.0,0.286
Gary Payton II,3,13.0,46.0,0.283
Gary Payton II,5,43.0,120.0,0.358
Oleksiy Pecherov,0,17.0,60.0,0.283
Oleksiy Pecherov,1,14.0,43.0,0.326
Oleksiy Pecherov,2,14.0,52.0,0.269
Morris Peterson,0,63.0,165.0,0.382
Morris Peterson,1,84.0,231.0,0.364
Morris Peterson,2,116.0,344.0,0.337
Morris Peterson,3,126.0,340.0,0.371
Morris Peterson,4,129.0,335.0,0.385
Morris Peterson,5,177.0,448.0,0.395
Morris Peterson,6,106.0,295.0,0.359
Morris Peterson,7,113.0,287.0,0.394
Morris Peterson,8,33.0,85.0,0.388
Morris Peterson,9,62.0,171.0,0.363
Mickaël Piétrus,0,35.0,105.0,0.333
Mickaël Piétrus,1,67.0,195.0,0.344
Mickaël Piétrus,2,56.0,176.0,0.318
Mickaël Piétrus,3,93.0,240.0,0.388
Mickaël Piétrus,4,66.0,183.0,0.361
Mickaël Piétrus,5,80.0,223.0,0.359
Mickaël Piétrus,6,116.0,306.0,0.379
Mickaël Piétrus,7,85.0,236.0,0.36
Mickaël Piétrus,8,61.0,182.0,0.335
Mickaël Piétrus,9,20.0,64.0,0.313
Theo Pinson,0,12.0,46.0,0.261
Theo Pinson,1,15.0,80.0,0.188
Theo Pinson,3,10.0,30.0,0.333
Aleksej Pokusevski,0,58.0,207.0,0.28
Aleksej Pokusevski,1,57.0,197.0,0.289
Quincy Pondexter,0,18.0,50.0,0.36
Quincy Pondexter,1,22.0,73.0,0.301
Quincy Pondexter,2,60.0,152.0,0.395
Quincy Pondexter,3,11.0,34.0,0.324
Quincy Pondexter,4,91.0,244.0,0.373
Jordan Poole,0,74.0,265.0,0.279
Jordan Poole,1,97.0,276.0,0.351
Jordan Poole,2,211.0,580.0,0.364
Kevin Porter Jr.,0,53.0,158.0,0.335
Kevin Porter Jr.,1,50.0,161.0,0.311
Kevin Porter Jr.,2,155.0,413.0,0.375
Michael Porter Jr.,0,62.0,147.0,0.422
Michael Porter Jr.,1,170.0,382.0,0.445
Michael Porter Jr.,2,10.0,48.0,0.208
Otto Porter Jr.,1,35.0,104.0,0.337
Otto Porter Jr.,2,98.0,267.0,0.367
Otto Porter Jr.,3,148.0,341.0,0.434
Otto Porter Jr.,4,138.0,313.0,0.441
Otto Porter Jr.,5,104.0,256.0,0.406
Otto Porter Jr.,6,24.0,62.0,0.387
Otto Porter Jr.,7,39.0,104.0,0.375
Otto Porter Jr.,8,80.0,216.0,0.37
Bobby Portis,0,16.0,52.0,0.308
Bobby Portis,1,32.0,96.0,0.333
Bobby Portis,2,80.0,223.0,0.359
Bobby Portis,3,75.0,191.0,0.393
Bobby Portis,4,67.0,187.0,0.358
Bobby Portis,5,74.0,157.0,0.471
Bobby Portis,6,133.0,338.0,0.393
Kristaps Porziņģis,0,81.0,243.0,0.333
Kristaps Porziņģis,1,112.0,314.0,0.357
Kristaps Porziņģis,2,90.0,228.0,0.395
Kristaps Porziņģis,4,142.0,403.0,0.352
Kristaps Porziņģis,5,97.0,258.0,0.376
Kristaps Porziņģis,6,78.0,252.0,0.31
James Posey,0,82.0,220.0,0.373
James Posey,1,65.0,217.0,0.3
James Posey,2,67.0,237.0,0.283
James Posey,3,70.0,229.0,0.306
James Posey,4,112.0,290.0,0.386
James Posey,5,55.0,178.0,0.309
James Posey,6,117.0,290.0,0.403
James Posey,7,97.0,259.0,0.375
James Posey,8,106.0,279.0,0.38
James Posey,9,116.0,314.0,0.369
James Posey,10,81.0,242.0,0.335
James Posey,11,67.0,212.0,0.316
Dwight Powell,2,21.0,74.0,0.284
Dwight Powell,3,28.0,84.0,0.333
Dwight Powell,4,39.0,127.0,0.307
Dwight Powell,5,10.0,39.0,0.256
Dwight Powell,7,13.0,37.0,0.351
Norman Powell,0,36.0,89.0,0.404
Norman Powell,1,56.0,173.0,0.324
Norman Powell,2,53.0,186.0,0.285
Norman Powell,3,68.0,170.0,0.4
Norman Powell,4,109.0,273.0,0.399
Norman Powell,5,171.0,416.0,0.411
Norman Powell,6,106.0,253.0,0.419
Phil Pressey,0,28.0,106.0,0.264
Phil Pressey,1,16.0,65.0,0.246
A.J. Price,0,60.0,174.0,0.345
A.J. Price,1,41.0,149.0,0.275
A.J. Price,2,26.0,88.0,0.295
A.J. Price,3,70.0,200.0,0.35
A.J. Price,5,15.0,57.0,0.263
Ronnie Price,0,6.0,27.0,0.222
Ronnie Price,1,21.0,65.0,0.323
Ronnie Price,2,26.0,75.0,0.347
Ronnie Price,3,19.0,61.0,0.311
Ronnie Price,4,18.0,63.0,0.286
Ronnie Price,5,20.0,69.0,0.29
Ronnie Price,6,13.0,44.0,0.295
Ronnie Price,7,10.0,39.0,0.256
Ronnie Price,8,9.0,43.0,0.209
Ronnie Price,9,31.0,109.0,0.284
Ronnie Price,10,68.0,196.0,0.347
Pablo Prigioni,0,53.0,134.0,0.396
Pablo Prigioni,1,65.0,140.0,0.464
Pablo Prigioni,2,57.0,166.0,0.343
Pablo Prigioni,3,28.0,95.0,0.295
Taurean Prince,0,33.0,102.0,0.324
Taurean Prince,1,176.0,457.0,0.385
Taurean Prince,2,123.0,315.0,0.39
Taurean Prince,3,146.0,431.0,0.339
Taurean Prince,4,62.0,155.0,0.4
Taurean Prince,5,86.0,229.0,0.376
Tayshaun Prince,0,20.0,47.0,0.426
Tayshaun Prince,1,57.0,157.0,0.363
Tayshaun Prince,2,47.0,138.0,0.341
Tayshaun Prince,3,64.0,183.0,0.35
Tayshaun Prince,4,81.0,210.0,0.386
Tayshaun Prince,5,53.0,146.0,0.363
Tayshaun Prince,6,56.0,141.0,0.397
Tayshaun Prince,7,27.0,73.0,0.37
Tayshaun Prince,8,34.0,98.0,0.347
Tayshaun Prince,9,37.0,104.0,0.356
Tayshaun Prince,10,38.0,94.0,0.404
Tayshaun Prince,11,20.0,69.0,0.29
Tayshaun Prince,12,31.0,67.0,0.463
Payton Pritchard,0,102.0,248.0,0.411
Payton Pritchard,1,101.0,245.0,0.412
Immanuel Quickley,0,118.0,303.0,0.389
Immanuel Quickley,1,137.0,396.0,0.346
Chris Quinn,0,20.0,57.0,0.351
Chris Quinn,1,64.0,159.0,0.403
Chris Quinn,2,56.0,137.0,0.409
Chris Quinn,3,10.0,32.0,0.313
Chris Quinn,4,11.0,37.0,0.297
Vladimir Radmanović,0,66.0,157.0,0.42
Vladimir Radmanović,1,104.0,293.0,0.355
Vladimir Radmanović,2,140.0,377.0,0.371
Vladimir Radmanović,3,128.0,329.0,0.389
Vladimir Radmanović,4,138.0,354.0,0.39
Vladimir Radmanović,5,40.0,118.0,0.339
Vladimir Radmanović,6,95.0,234.0,0.406
Vladimir Radmanović,7,105.0,262.0,0.401
Vladimir Radmanović,8,30.0,108.0,0.278
Vladimir Radmanović,9,70.0,173.0,0.405
Vladimir Radmanović,10,50.0,135.0,0.37
Vladimir Radmanović,11,5.0,27.0,0.185
Chasson Randle,0,16.0,47.0,0.34
Chasson Randle,2,46.0,115.0,0.4
Chasson Randle,4,44.0,130.0,0.338
Julius Randle,1,10.0,36.0,0.278
Julius Randle,2,17.0,63.0,0.27
Julius Randle,3,10.0,45.0,0.222
Julius Randle,4,67.0,195.0,0.344
Julius Randle,5,64.0,231.0,0.277
Julius Randle,6,160.0,389.0,0.411
Julius Randle,7,120.0,390.0,0.308
Zach Randolph,4,16.0,55.0,0.291
Zach Randolph,5,14.0,48.0,0.292
Zach Randolph,6,22.0,80.0,0.275
Zach Randolph,7,32.0,97.0,0.33
Zach Randolph,8,15.0,52.0,0.288
Zach Randolph,9,8.0,43.0,0.186
Zach Randolph,14,6.0,26.0,0.231
Zach Randolph,15,21.0,94.0,0.223
Zach Randolph,16,51.0,147.0,0.347
Michael Redd,1,88.0,198.0,0.444
Michael Redd,2,182.0,416.0,0.438
Michael Redd,3,127.0,363.0,0.35
Michael Redd,4,104.0,293.0,0.355
Michael Redd,5,163.0,413.0,0.395
Michael Redd,6,117.0,306.0,0.382
Michael Redd,7,130.0,359.0,0.362
Michael Redd,8,70.0,191.0,0.366
Michael Redd,9,18.0,60.0,0.3
Michael Redd,11,42.0,132.0,0.318
Cam Reddish,0,83.0,250.0,0.332
Cam Reddish,1,33.0,126.0,0.262
Cam Reddish,2,66.0,184.0,0.359
J.J. Redick,0,38.0,98.0,0.388
J.J. Redick,1,17.0,43.0,0.395
J.J. Redick,2,67.0,179.0,0.374
J.J. Redick,3,111.0,274.0,0.405
J.J. Redick,4,87.0,219.0,0.397
J.J. Redick,5,112.0,268.0,0.418
J.J. Redick,6,165.0,451.0,0.366
J.J. Redick,7,73.0,185.0,0.395
J.J. Redick,8,200.0,458.0,0.437
J.J. Redick,9,200.0,421.0,0.475
J.J. Redick,10,201.0,468.0,0.429
J.J. Redick,11,193.0,460.0,0.42
J.J. Redick,12,240.0,605.0,0.397
J.J. Redick,13,180.0,397.0,0.453
J.J. Redick,14,66.0,178.0,0.371
Davon Reed,0,11.0,38.0,0.289
Davon Reed,4,37.0,86.0,0.43
Naz Reid,0,32.0,97.0,0.33
Naz Reid,1,61.0,174.0,0.351
Naz Reid,2,57.0,166.0,0.343
Jason Richardson,0,82.0,246.0,0.333
Jason Richardson,1,123.0,334.0,0.368
Jason Richardson,2,77.0,273.0,0.282
Jason Richardson,3,125.0,370.0,0.338
Jason Richardson,4,183.0,477.0,0.384
Jason Richardson,5,110.0,301.0,0.365
Jason Richardson,6,243.0,599.0,0.406
Jason Richardson,7,129.0,325.0,0.397
Jason Richardson,8,157.0,400.0,0.393
Jason Richardson,9,189.0,479.0,0.395
Jason Richardson,10,102.0,277.0,0.368
Jason Richardson,11,57.0,167.0,0.341
Jason Richardson,13,31.0,96.0,0.323
Josh Richardson,0,53.0,115.0,0.461
Josh Richardson,1,75.0,227.0,0.33
Josh Richardson,2,127.0,336.0,0.378
Josh Richardson,3,164.0,460.0,0.357
Josh Richardson,4,85.0,249.0,0.341
Josh Richardson,5,88.0,267.0,0.33
Josh Richardson,6,102.0,246.0,0.415
Malachi Richardson,0,8.0,28.0,0.286
Malachi Richardson,1,12.0,40.0,0.3
Quentin Richardson,0,50.0,151.0,0.331
Quentin Richardson,1,133.0,349.0,0.381
Quentin Richardson,2,61.0,198.0,0.308
Quentin Richardson,3,120.0,341.0,0.352
Quentin Richardson,4,226.0,631.0,0.358
Quentin Richardson,5,64.0,188.0,0.34
Quentin Richardson,6,97.0,258.0,0.376
Quentin Richardson,7,69.0,214.0,0.322
Quentin Richardson,8,120.0,329.0,0.365
Quentin Richardson,9,142.0,358.0,0.397
Quentin Richardson,10,42.0,146.0,0.288
Quentin Richardson,11,42.0,121.0,0.347
Luke Ridnour,0,27.0,80.0,0.338
Luke Ridnour,1,67.0,178.0,0.376
Luke Ridnour,2,43.0,149.0,0.289
Luke Ridnour,3,49.0,139.0,0.353
Luke Ridnour,4,21.0,71.0,0.296
Luke Ridnour,5,55.0,157.0,0.35
Luke Ridnour,6,69.0,181.0,0.381
Luke Ridnour,7,81.0,184.0,0.44
Luke Ridnour,8,49.0,152.0,0.322
Luke Ridnour,9,66.0,212.0,0.311
Luke Ridnour,10,37.0,108.0,0.343
Luke Ridnour,11,20.0,63.0,0.317
Austin Rivers,0,28.0,86.0,0.326
Austin Rivers,1,36.0,99.0,0.364
Austin Rivers,2,39.0,131.0,0.298
Austin Rivers,3,62.0,185.0,0.335
Austin Rivers,4,111.0,299.0,0.371
Austin Rivers,5,136.0,360.0,0.378
Austin Rivers,6,104.0,327.0,0.318
Austin Rivers,7,96.0,270.0,0.356
Austin Rivers,8,55.0,149.0,0.369
Austin Rivers,9,79.0,231.0,0.342
Andre Roberson,1,21.0,85.0,0.247
Andre Roberson,2,32.0,103.0,0.311
Andre Roberson,3,45.0,184.0,0.245
Andre Roberson,4,8.0,36.0,0.222
Brian Roberts,0,59.0,153.0,0.386
Brian Roberts,1,64.0,178.0,0.36
Brian Roberts,2,62.0,193.0,0.321
Brian Roberts,3,15.0,42.0,0.357
Brian Roberts,4,17.0,44.0,0.386
Duncan Robinson,0,10.0,35.0,0.286
Duncan Robinson,1,270.0,606.0,0.446
Duncan Robinson,2,250.0,613.0,0.408
Duncan Robinson,3,232.0,624.0,0.372
Glenn Robinson III,1,14.0,37.0,0.378
Glenn Robinson III,2,49.0,125.0,0.392
Glenn Robinson III,3,14.0,34.0,0.412
Glenn Robinson III,4,18.0,62.0,0.29
Glenn Robinson III,5,77.0,197.0,0.391
Glenn Robinson III,6,16.0,44.0,0.364
Jerome Robinson,0,18.0,57.0,0.316
Jerome Robinson,1,49.0,153.0,0.32
Jerome Robinson,2,11.0,42.0,0.262
Nate Robinson,0,58.0,146.0,0.397
Nate Robinson,1,83.0,213.0,0.39
Nate Robinson,2,97.0,292.0,0.332
Nate Robinson,3,125.0,385.0,0.325
Nate Robinson,4,87.0,223.0,0.39
Nate Robinson,5,65.0,200.0,0.325
Nate Robinson,6,66.0,181.0,0.365
Nate Robinson,7,141.0,348.0,0.405
Nate Robinson,8,58.0,154.0,0.377
Nate Robinson,9,31.0,112.0,0.277
Isaiah Roby,1,32.0,109.0,0.294
Isaiah Roby,2,44.0,99.0,0.444
Sergio Rodríguez,0,24.0,85.0,0.282
Sergio Rodríguez,1,17.0,58.0,0.293
Sergio Rodríguez,2,37.0,114.0,0.325
Sergio Rodríguez,3,32.0,91.0,0.352
Sergio Rodríguez,10,92.0,252.0,0.365
Rajon Rondo,0,6.0,29.0,0.207
Rajon Rondo,2,15.0,48.0,0.313
Rajon Rondo,3,17.0,80.0,0.213
Rajon Rondo,4,10.0,43.0,0.233
Rajon Rondo,5,10.0,42.0,0.238
Rajon Rondo,6,12.0,50.0,0.24
Rajon Rondo,7,26.0,90.0,0.289
Rajon Rondo,8,27.0,86.0,0.314
Rajon Rondo,9,62.0,170.0,0.365
Rajon Rondo,10,50.0,133.0,0.376
Rajon Rondo,11,50.0,150.0,0.333
Rajon Rondo,12,51.0,142.0,0.359
Rajon Rondo,13,41.0,125.0,0.328
Rajon Rondo,14,36.0,89.0,0.404
Rajon Rondo,15,31.0,88.0,0.352
Derrick Rose,0,16.0,72.0,0.222
Derrick Rose,1,16.0,60.0,0.267
Derrick Rose,2,128.0,385.0,0.332
Derrick Rose,3,54.0,173.0,0.312
Derrick Rose,5,16.0,47.0,0.34
Derrick Rose,6,76.0,271.0,0.28
Derrick Rose,7,44.0,150.0,0.293
Derrick Rose,8,13.0,60.0,0.217
Derrick Rose,9,7.0,30.0,0.233
Derrick Rose,10,54.0,146.0,0.37
Derrick Rose,11,45.0,147.0,0.306
Derrick Rose,12,50.0,129.0,0.388
Derrick Rose,13,37.0,92.0,0.402
Terrence Ross,0,65.0,196.0,0.332
Terrence Ross,1,161.0,408.0,0.395
Terrence Ross,2,145.0,390.0,0.372
Terrence Ross,3,131.0,339.0,0.386
Terrence Ross,4,142.0,391.0,0.363
Terrence Ross,5,30.0,93.0,0.323
Terrence Ross,6,217.0,566.0,0.383
Terrence Ross,7,177.0,504.0,0.351
Terrence Ross,8,89.0,264.0,0.337
Terrence Ross,9,77.0,264.0,0.292
Brandon Roy,0,55.0,146.0,0.377
Brandon Roy,1,73.0,215.0,0.34
Brandon Roy,2,83.0,220.0,0.377
Brandon Roy,3,73.0,221.0,0.33
Brandon Roy,4,38.0,114.0,0.333
Terry Rozier,0,6.0,27.0,0.222
Terry Rozier,1,57.0,179.0,0.318
Terry Rozier,2,153.0,402.0,0.381
Terry Rozier,3,119.0,337.0,0.353
Terry Rozier,4,172.0,423.0,0.407
Terry Rozier,5,222.0,571.0,0.389
Terry Rozier,6,222.0,593.0,0.374
Ricky Rubio,0,32.0,94.0,0.34
Ricky Rubio,1,27.0,92.0,0.293
Ricky Rubio,2,44.0,133.0,0.331
Ricky Rubio,3,13.0,51.0,0.255
Ricky Rubio,4,62.0,190.0,0.326
Ricky Rubio,5,60.0,196.0,0.306
Ricky Rubio,6,96.0,273.0,0.352
Ricky Rubio,7,79.0,254.0,0.311
Ricky Rubio,8,78.0,216.0,0.361
Ricky Rubio,9,66.0,214.0,0.308
Ricky Rubio,10,59.0,174.0,0.339
Damjan Rudež,0,69.0,170.0,0.406
Damjan Rudež,1,17.0,50.0,0.34
Damjan Rudež,2,20.0,64.0,0.313
Brandon Rush,0,78.0,209.0,0.373
Brandon Rush,1,124.0,302.0,0.411
Brandon Rush,2,93.0,223.0,0.417
Brandon Rush,3,99.0,219.0,0.452
Brandon Rush,5,16.0,47.0,0.34
Brandon Rush,6,3.0,27.0,0.111
Brandon Rush,7,65.0,157.0,0.414
Brandon Rush,8,44.0,114.0,0.386
Kareem Rush,0,19.0,68.0,0.279
Kareem Rush,1,48.0,138.0,0.348
Kareem Rush,2,51.0,137.0,0.372
Kareem Rush,3,57.0,164.0,0.348
Kareem Rush,5,102.0,262.0,0.389
Kareem Rush,6,10.0,33.0,0.303
D'Angelo Russell,0,130.0,370.0,0.351
D'Angelo Russell,1,135.0,384.0,0.352
D'Angelo Russell,2,90.0,278.0,0.324
D'Angelo Russell,3,234.0,635.0,0.369
D'Angelo Russell,4,158.0,431.0,0.367
D'Angelo Russell,5,120.0,310.0,0.387
D'Angelo Russell,6,176.0,518.0,0.34
Domantas Sabonis,0,51.0,159.0,0.321
Domantas Sabonis,1,13.0,37.0,0.351
Domantas Sabonis,3,17.0,67.0,0.254
Domantas Sabonis,4,52.0,162.0,0.321
Domantas Sabonis,5,39.0,125.0,0.312
John Salmons,0,10.0,31.0,0.323
John Salmons,1,50.0,147.0,0.34
John Salmons,2,31.0,91.0,0.341
John Salmons,3,26.0,87.0,0.299
John Salmons,4,40.0,112.0,0.357
John Salmons,5,39.0,120.0,0.325
John Salmons,6,126.0,302.0,0.417
John Salmons,7,118.0,309.0,0.382
John Salmons,8,83.0,219.0,0.379
John Salmons,9,33.0,112.0,0.295
John Salmons,10,99.0,267.0,0.371
John Salmons,11,63.0,163.0,0.387
John Salmons,12,8.0,26.0,0.308
JaKarr Sampson,0,31.0,127.0,0.244
JaKarr Sampson,1,14.0,63.0,0.222
Dario Šarić,0,106.0,341.0,0.311
Dario Šarić,1,157.0,399.0,0.393
Dario Šarić,2,118.0,323.0,0.365
Dario Šarić,3,84.0,235.0,0.357
Dario Šarić,4,47.0,135.0,0.348
Tomáš Satoranský,0,9.0,37.0,0.243
Tomáš Satoranský,1,47.0,101.0,0.465
Tomáš Satoranský,2,64.0,162.0,0.395
Tomáš Satoranský,3,64.0,199.0,0.322
Tomáš Satoranský,4,42.0,118.0,0.356
Tomáš Satoranský,5,11.0,53.0,0.208
Brian Scalabrine,1,14.0,39.0,0.359
Brian Scalabrine,2,10.0,41.0,0.244
Brian Scalabrine,3,22.0,68.0,0.324
Brian Scalabrine,4,31.0,87.0,0.356
Brian Scalabrine,5,44.0,110.0,0.4
Brian Scalabrine,6,15.0,46.0,0.326
Brian Scalabrine,7,24.0,61.0,0.393
Brian Scalabrine,8,16.0,49.0,0.327
Admiral Schofield,0,19.0,61.0,0.311
Admiral Schofield,2,26.0,79.0,0.329
Dennis Schröder,0,10.0,42.0,0.238
Dennis Schröder,1,52.0,148.0,0.351
Dennis Schröder,2,77.0,239.0,0.322
Dennis Schröder,3,100.0,294.0,0.34
Dennis Schröder,4,76.0,262.0,0.29
Dennis Schröder,5,124.0,364.0,0.341
Dennis Schröder,6,125.0,325.0,0.385
Dennis Schröder,7,71.0,212.0,0.335
Dennis Schröder,8,86.0,250.0,0.344
Luis Scola,8,65.0,161.0,0.404
Luis Scola,9,17.0,50.0,0.34
Mike Scott,1,62.0,200.0,0.31
Mike Scott,2,66.0,192.0,0.344
Mike Scott,3,62.0,158.0,0.392
Mike Scott,4,4.0,27.0,0.148
Mike Scott,5,66.0,163.0,0.405
Mike Scott,6,101.0,252.0,0.401
Mike Scott,7,80.0,217.0,0.369
Mike Scott,8,53.0,155.0,0.342
Thabo Sefolosha,0,15.0,42.0,0.357
Thabo Sefolosha,1,29.0,88.0,0.33
Thabo Sefolosha,2,24.0,87.0,0.276
Thabo Sefolosha,3,41.0,131.0,0.313
Thabo Sefolosha,4,28.0,102.0,0.275
Thabo Sefolosha,5,31.0,71.0,0.437
Thabo Sefolosha,6,108.0,258.0,0.419
Thabo Sefolosha,7,48.0,152.0,0.316
Thabo Sefolosha,8,25.0,78.0,0.321
Thabo Sefolosha,9,42.0,124.0,0.339
Thabo Sefolosha,10,41.0,120.0,0.342
Thabo Sefolosha,11,32.0,84.0,0.381
Thabo Sefolosha,12,34.0,78.0,0.436
Thabo Sefolosha,13,15.0,54.0,0.278
Wayne Selden,0,7.0,28.0,0.25
Wayne Selden,1,49.0,122.0,0.402
Wayne Selden,2,55.0,174.0,0.316
Ramon Sessions,1,6.0,34.0,0.176
Ramon Sessions,4,43.0,97.0,0.443
Ramon Sessions,5,33.0,107.0,0.308
Ramon Sessions,6,35.0,124.0,0.282
Ramon Sessions,7,19.0,60.0,0.317
Ramon Sessions,8,36.0,111.0,0.324
Ramon Sessions,9,21.0,62.0,0.339
Ramon Sessions,10,8.0,26.0,0.308
Collin Sexton,0,119.0,296.0,0.402
Collin Sexton,1,97.0,255.0,0.38
Collin Sexton,2,98.0,264.0,0.371
Collin Sexton,3,11.0,45.0,0.244
Landry Shamet,0,167.0,396.0,0.422
Landry Shamet,1,111.0,296.0,0.375
Landry Shamet,2,129.0,333.0,0.387
Landry Shamet,3,123.0,334.0,0.368
Iman Shumpert,0,48.0,157.0,0.306
Iman Shumpert,1,51.0,127.0,0.402
Iman Shumpert,2,76.0,228.0,0.333
Iman Shumpert,3,67.0,196.0,0.342
Iman Shumpert,4,43.0,146.0,0.295
Iman Shumpert,5,94.0,261.0,0.36
Iman Shumpert,6,7.0,26.0,0.269
Iman Shumpert,7,95.0,273.0,0.348
Iman Shumpert,8,8.0,33.0,0.242
Alexey Shved,0,85.0,288.0,0.295
Alexey Shved,1,30.0,102.0,0.294
Alexey Shved,2,47.0,139.0,0.338
Pascal Siakam,1,29.0,132.0,0.22
Pascal Siakam,2,79.0,214.0,0.369
Pascal Siakam,3,131.0,365.0,0.359
Pascal Siakam,4,73.0,246.0,0.297
Pascal Siakam,5,75.0,218.0,0.344
Bobby Simmons,3,50.0,115.0,0.435
Bobby Simmons,4,105.0,250.0,0.42
Bobby Simmons,6,60.0,171.0,0.351
Bobby Simmons,7,117.0,262.0,0.447
Bobby Simmons,8,20.0,63.0,0.317
Bobby Simmons,10,20.0,60.0,0.333
Jonathon Simmons,0,18.0,47.0,0.383
Jonathon Simmons,1,30.0,102.0,0.294
Jonathon Simmons,2,69.0,204.0,0.338
Jonathon Simmons,3,28.0,104.0,0.269
Anfernee Simons,0,10.0,29.0,0.345
Anfernee Simons,1,75.0,226.0,0.332
Anfernee Simons,2,120.0,282.0,0.426
Anfernee Simons,3,179.0,442.0,0.405
Kyle Singler,0,70.0,200.0,0.35
Kyle Singler,1,94.0,246.0,0.382
Kyle Singler,2,96.0,241.0,0.398
Kyle Singler,3,30.0,97.0,0.309
Kyle Singler,4,7.0,37.0,0.189
Chris Singleton,0,44.0,127.0,0.346
Chris Singleton,1,7.0,36.0,0.194
James Singleton,3,13.0,40.0,0.325
James Singleton,4,7.0,37.0,0.189
Donald Sloan,2,10.0,42.0,0.238
Donald Sloan,3,41.0,131.0,0.313
Donald Sloan,4,38.0,99.0,0.384
Marcus Smart,0,91.0,272.0,0.335
Marcus Smart,1,61.0,241.0,0.253
Marcus Smart,2,94.0,332.0,0.283
Marcus Smart,3,75.0,249.0,0.301
Marcus Smart,4,126.0,346.0,0.364
Marcus Smart,5,137.0,395.0,0.347
Marcus Smart,6,93.0,282.0,0.33
Marcus Smart,7,119.0,360.0,0.331
